Unnamed: 0,HOLEID,DEPTH,RL,Method,EAST,NORTH,CollarDip,CollarAzimuth,RigID,TENEMENTID,STARTDATE,ENDDATE,Surveyed
D,CB0171,48.0,420.0,RC,734996.0,7532401.764,-90.0,0.0,MAK5,E46/590,9-Jan-05,9-Jan-05,24-Feb-05
D,CB0172,54.0,418.0,RC,734997.0,7531999.836,-90.0,0.0,MAK5,E46/590,9-Jan-05,9-Jan-05,24-Feb-05
D,CB0173,54.0,419.0,RC,734998.0,7532201.128,-90.0,0.0,MAK5,E46/590,9-Jan-05,9-Jan-05,24-Feb-05
D,CB0174,60.0,417.0,RC,735003.0,7531807.234,-90.0,0.0,MAK5,E46/590,10-Jan-05,10-Jan-05,24-Feb-05
D,CB0175,36.0,421.0,RC,735001.0,7532602.928,-90.0,0.0,MAK5,E46/590,10-Jan-05,10-Jan-05,24-Feb-05
D,CB0176,48.0,444.0,RC,739200.0,7533396.751,-90.0,0.0,MAK5,E45/2498,10-Jan-05,10-Jan-05,24-Feb-05
D,CB0177,30.0,450.0,RC,739195.0,7533767.896,-90.0,0.0,MAK5,E45/2498,10-Jan-05,10-Jan-05,24-Feb-05
D,CB0178,18.0,453.0,RC,739190.0,7533972.484,-90.0,0.0,MAK5,E45/2498,11-Jan-05,11-Jan-05,24-Feb-05
D,CB0179,30.0,447.0,RC,739198.0,7533600.281,-90.0,0.0,MAK5,E45/2498,11-Jan-05,11-Jan-05,24-Feb-05
D,CB0180,70.0,442.0,RC,739199.0,7533206.141,-90.0,0.0,MAK5,E45/2498,11-Jan-05,11-Jan-05,24-Feb-05
D,CB0181,19.0,437.0,RC,739187.0,7532608.844,-90.0,0.0,MAK5,E45/2498,11-Jan-05,11-Jan-05,24-Feb-05
D,CB0182,65.0,434.0,RC,739203.0,7532408.125,-90.0,0.0,MAK5,E45/2498,13-Jan-05,13-Jan-05,24-Feb-05
D,CB0183,66.0,433.0,RC,739198.0,7532006.778,-90.0,0.0,MAK5,E46/590,13-Jan-05,13-Jan-05,24-Feb-05
D,CB0184,90.0,432.0,RC,739196.0,7531606.95,-90.0,0.0,MAK5,E46/590,13-Jan-05,13-Jan-05,24-Feb-05
D,CB0185,90.0,430.0,RC,739202.0,7531201.729,-90.0,0.0,MAK5,E46/590,14-Jan-05,14-Jan-05,24-Feb-05
D,CB0186,90.0,429.0,RC,739194.0,7531000.94,-90.0,0.0,MAK5,E46/590,14-Jan-05,15-Jan-05,24-Feb-05
